trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.2, 'e': 0.025083021257760435}",30,14,27.463246771477625,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.024330530620027623}",30,4,9.823014208889393,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.02360061470142679}",20,2,25.42393606336578,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.022892596260383986}",20,14,11.596401988164605,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.022205818372572468}",35,5,51.57066150268232,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.021539643821395293}",25,7,27.10531221055993,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.2, 'e': 0.020893454506753433}",20,13,13.404139645105174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.02026665087155083}",20,11,16.031863587499274,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.2, 'e': 0.019658651345404305}",25,0,35.39644022306828,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.2, 'e': 0.019068891805042173}",20,10,19.67992187234723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.018496825050890908}",30,16,14.921727368299393,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.01794192029936418}",20,8,21.792641159477792,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.017403662690383254}",25,12,21.558864143036654,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.016881552809671758}",20,6,24.72206920599255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.016375106225381603}",20,16,7.8659190958320275,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.015883853038620156}",20,5,23.632402964972428,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.01540733744746155}",20,0,29.641283592586326,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.2, 'e': 0.014945117324037704}",30,9,25.354636605684984,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.014496763804316573}",20,1,33.561618315486264,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.014061860890187074}",25,8,25.17773928707064,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
